name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
ChinaYiqun/java-rag,https://github.com/ChinaYiqun/java-rag,111,This RAG (Retrieval-Augmented Generation) project is implemented using pure Java. This approach makes it easier to adapt to enterprise-level environments and is more conducive to secondary development.,Apache License 2.0,0,0,0,0,2025-01-22
open-halo/halo-starter,https://github.com/open-halo/halo-starter,107,Next Generation Java Starter Project,The MIT License,0,0,0,0,2024-09-11
HotDogOvO/HDog-saas,https://github.com/HotDogOvO/HDog-saas,91,,Apache License 2.0,0,0,0,0,2024-12-05
valeryamut/minecraft,https://github.com/valeryamut/minecraft,71,,The MIT License,0,0,0,0,2025-02-09
yuyuanweb/mianshiya-plugin,https://github.com/yuyuanweb/mianshiya-plugin,68,持续维护的面试刷题插件，帮你光明正大地摸鱼刷题，拿到满意 offer！⭐️ 2024年最新Java面试题、前端面试题、C++面试题、Go面试题、Python面试题、测试面试题、运维面试题、后端面试题、操作系统面试题、计算机网络面试题、Redis面试题、MySQL数据库面试题、算法面试题、Spring面试题、JVM面试题、Java并发面试题、Linux面试题等几千道高频程序员求职必备八股文。💎,Apache License 2.0,0,0,0,0,2024-09-06
siwon1011/Evon-Executor,https://github.com/siwon1011/Evon-Executor,68,"Evon supports the Unified Naming Convention, allowing Evon to be compatible with 99.9% of modern scripts.",The MIT License,0,0,0,0,2024-12-09
IxionLang/Ixion,https://github.com/IxionLang/Ixion,66,Ixion programming language,The MIT License,0,0,0,0,2024-11-05
huangsam/photohaul,https://github.com/huangsam/photohaul,65,Effortless photo management,The MIT License,0,0,0,0,2024-11-23
joshlong-attic/2024-bootiful-spring-workshop,https://github.com/joshlong-attic/2024-bootiful-spring-workshop,60,the workshop,Apache License 2.0,0,0,0,0,2024-09-22
TianXuan-Chain/thanos-chain,https://github.com/TianXuan-Chain/thanos-chain,58,天玄链节点应用服务,Apache License 2.0,0,0,0,0,2024-08-27
mrwm/QRshare,https://github.com/mrwm/QRshare,56,Share QR code with android's share sheet,Apache License 2.0,0,0,0,0,2024-11-30
TianXuan-Chain/thanos-common,https://github.com/TianXuan-Chain/thanos-common,54,天玄链通用模块,Apache License 2.0,0,0,0,0,2024-08-27
TC999/Aria-bak,https://github.com/TC999/Aria-bak,52,Aria 源代码备份,Apache License 2.0,0,0,0,0,2024-08-20
linyu-im/linyu-mini-server,https://github.com/linyu-im/linyu-mini-server,52,一个轻量级的在线聊天室系统，支持实时消息交流，适合多场景使用。,Apache License 2.0,0,0,0,0,2024-12-11
isinvon/gold-foil-font-api,https://github.com/isinvon/gold-foil-font-api,52,"gold-foil-api - 烫金字体API, 为新年欢呼!",The MIT License,0,0,0,0,2024-12-05
atharva7803/Accenture-Previous-Year-Coding-Questions-,https://github.com/atharva7803/Accenture-Previous-Year-Coding-Questions-,49,Accenture Previous Year Coding Questions With Solution.,The MIT License,0,0,0,0,2024-07-23
george0st/Ff2Cql,https://github.com/george0st/Ff2Cql,49,"A simple transfer data from NiFi to CQL solution (support Apache Cassandra, ScyllaDB, AstraDB, YugabyteDB).",Apache License 2.0,0,0,0,0,2024-12-19
chriskiehl/Data-Oriented-Programming-In-Java-Book,https://github.com/chriskiehl/Data-Oriented-Programming-In-Java-Book,48,Source code for Data Oriented Programming in Java,The MIT License,0,0,0,0,2024-09-07
underc0delabs/Autoc0de-Hybrid,https://github.com/underc0delabs/Autoc0de-Hybrid,46,"Hybrid framework that allows Frontend and API testing to be carried out, sequentially or parallel, therefore, allowing cross validation. Use Playwright, TestNG, Cucumber and RestAssured",The MIT License,0,0,0,0,2024-07-26
ngntu10/OptiMart,https://github.com/ngntu10/OptiMart,44,"Optimart: A full-stack e-commerce platform with a Spring Boot backend and Next.js frontend for a modern, scalable user experience.",Apache License 2.0,0,0,0,0,2024-07-25
shasankp000/AI-Player,https://github.com/shasankp000/AI-Player,44,"A minecraft mod which aims to add a ""second player"" into the game which will actually be intelligent.",The MIT License,0,0,0,0,2024-07-06
Swaggy-Swagger/swagger-custom-java,https://github.com/Swaggy-Swagger/swagger-custom-java,43,swagger customization for java,Apache License 2.0,0,0,0,0,2024-07-14
