name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
wainejr/ZigZagOS,https://github.com/wainejr/ZigZagOS,30,ZigZag is an operational system for embedded systems written in Zig,The MIT License,0,0,1,0,2024-07-21
asset-ai/simple-vector-db,https://github.com/asset-ai/simple-vector-db,30,"Simple Vector DB is a lightweight, efficient database for high-dimensional vectors. It supports dynamic operations like insertion, update, deletion, and comparison (cosine similarity, Euclidean distance, dot product) via a RESTful API. Ideal for machine learning, data science, and scientific computing applications.",The MIT License,0,0,1,0,2024-07-11
GreengageDB/greengage,https://github.com/GreengageDB/greengage,30,,Apache License 2.0,0,0,1,0,2024-09-03
Pastifier/miniRT,https://github.com/Pastifier/miniRT,30,"miniRT is the final C project of the 42 Common Core: our very first ray-tracer. Our miniRT focused on optimising CPU-rendered graphics, to achieve a real-time renderer with movement controls and extra options",The MIT License,0,0,1,0,2024-08-25
NativeScript/runtime-node-api,https://github.com/NativeScript/runtime-node-api,29,"An embeddable, engine-agnostic NativeScript runtime based on Node-API",The MIT License,0,0,1,0,2024-08-25
yuchung886886/Portal-inspired-sentry-turret,https://github.com/yuchung886886/Portal-inspired-sentry-turret,26,,The MIT License,0,0,1,0,2024-11-04
dadecoza/pidgin-meshtastic,https://github.com/dadecoza/pidgin-meshtastic,22,a Meshtastic plugin for Pidgin,The MIT License,0,0,1,0,2024-12-03
tursodatabase/libsql-swift,https://github.com/tursodatabase/libsql-swift,22,libSQL bindings for Swift,The MIT License,0,0,1,0,2024-08-23
ibarram/AyE,https://github.com/ibarram/AyE,22,Algoritmos y Estructuras de Datos: Implementa algoritmos que permiten la solución de problemas matemáticos de alto nivel que le brindarán los conocimientos para el desarrollo de software.,The MIT License,0,0,1,0,2024-08-03
AlexGyver/AiFrame,https://github.com/AlexGyver/AiFrame,21,Фоторамка с нейросетью,The MIT License,0,0,1,0,2024-07-17
karl-zylinski/odin-sokol-web,https://github.com/karl-zylinski/odin-sokol-web,21,,The MIT License,0,0,1,0,2025-01-25
meetecho/imquic,https://github.com/meetecho/imquic,21,QUIC library with RTP Over QUIC (RoQ) and Media Over QUIC (MoQT) support,The MIT License,0,0,1,0,2024-12-20
swiftlang/swift-toolchain-sqlite,https://github.com/swiftlang/swift-toolchain-sqlite,20,Copy of SQLite for use by clients within the Swift toolchain.  This is not a general-purpose wrapper for SQLite.,Apache License 2.0,0,0,1,0,2024-08-05
eppl-erau-db/amigo_ros2,https://github.com/eppl-erau-db/amigo_ros2,19,ROS2 Support for Unitree Go2,The MIT License,0,0,1,0,2024-07-10
mrxz/wLipSync,https://github.com/mrxz/wLipSync,19,MFCC-based lip-sync library using WASM and WebAudio based on uLipSync,The MIT License,0,0,1,0,2025-01-06
aj22r/walksnail-root,https://github.com/aj22r/walksnail-root,18,Walksnail Avatar Goggles X rooting utility,The MIT License,0,0,1,0,2024-10-20
jack-jjm/gdxc,https://github.com/jack-jjm/gdxc,17,The game development exquisite corpse.,The MIT License,0,0,1,0,2024-09-02
cdkw2/conway-screensaver,https://github.com/cdkw2/conway-screensaver,17,A conways game of life screensaver for the terminal,The MIT License,0,0,1,0,2024-07-21
ac3ss0r/cvm.h,https://github.com/ac3ss0r/cvm.h,17,CVM is a header-only turing-complete virtual machine engine made in pure C.,Apache License 2.0,0,0,1,0,2024-08-15
uDrivers/uDRM,https://github.com/uDrivers/uDRM,17,Portable DRM-compatible device drivers for GPUs,The MIT License,0,0,1,0,2024-12-11
offici5l/MiAssistantTool,https://github.com/offici5l/MiAssistantTool,16,,Apache License 2.0,0,0,1,0,2024-07-25
mad-lab-fau/BioMAC-Sim-Toolbox,https://github.com/mad-lab-fau/BioMAC-Sim-Toolbox,16,"The biomechanical motion analysis and creation (BioMAC) simulation toolbox can be used to analyse human movement, with a focus on gait simulations ",Apache License 2.0,0,0,1,0,2024-12-06
muchenspace/jniRootImgui,https://github.com/muchenspace/jniRootImgui,15,,The MIT License,0,0,1,0,2024-09-04
web-devkits/wasm2native,https://github.com/web-devkits/wasm2native,15,Compile WebAssembly to native binary,Apache License 2.0,0,0,1,0,2024-07-12
kimren227/DiffConvex,https://github.com/kimren227/DiffConvex,15,,The MIT License,0,0,1,0,2024-07-20
tsotchke/quantum_geometric_tensor,https://github.com/tsotchke/quantum_geometric_tensor,425,High performance hybrid classical-quantum computing learning framework written in C,The MIT License,0,0,0,0,2025-01-31
lyg09270/CyberryPotter_ElectromagicWand_Basic_Project,https://github.com/lyg09270/CyberryPotter_ElectromagicWand_Basic_Project,357,Cyberry Potter electromagic wand.的基础工程，可以使用不同的（法术）动作点亮LED，也可以根据自己的需求将LED修改为其他功能。,Apache License 2.0,0,0,0,0,2024-07-23
Maldev-Academy/EmbedPayloadInPng,https://github.com/Maldev-Academy/EmbedPayloadInPng,291,Embed a payload inside a PNG file,The MIT License,0,0,0,0,2024-10-24
boku7/StringReaper,https://github.com/boku7/StringReaper,206,Reaping treasures from strings in remote processes memory ,The MIT License,0,0,0,0,2025-02-08
M165437/nice-view-gem,https://github.com/M165437/nice-view-gem,176,A sleek customization for the nice!view shield,The MIT License,0,0,0,0,2024-10-20
dupontgu/pov_pong_mouse,https://github.com/dupontgu/pov_pong_mouse,163,Implementation of Pong that runs within a mouse's firmware and renders by moving the cursor fast enough to acheive persistence of vision,The MIT License,0,0,0,0,2024-08-07
